entity,mass_kg,neurons,neurons_per_kg,group,impact,notes
Crocodile,90,8.3e7,9.22e5,Reptiles,Low,"Low neuron density; ~20x fewer than endotherms"
Goldcrest,0.0045,1.64e8,3.64e10,Birds,High,"Smallest bird, extreme density"
Corvid/Rook,0.5,2e9,4e9,Birds,High,"Primate-like forebrain neurons"
Parrot (African Grey),0.4,3e9,7.5e9,Birds,High,"High cognition, tool use"
Pigeon,0.35,3.1e8,8.86e8,Birds,Medium,"Common bird baseline"
Mouse,0.02,7.1e7,3.55e9,Mammals,Medium,"Rodent baseline"
Rat,0.3,2e8,6.67e8,Mammals,Medium,"Rodent"
Cat,4,7.6e8,1.9e8,Mammals,Medium,"Carnivore"
Dog,15,5.3e8,3.5e7,Mammals,Medium,"Carnivore"
Elephant,4000,2.57e11,6.43e7,Mammals,High,"Largest land mammal; 257B neurons but low density"
Marmoset,0.3,1.4e9,4.67e9,Primates,High,"Small primate, linear scaling"
Macaque,7,6.4e9,9.14e8,Primates,High,"Old World monkey"
Chimpanzee,50,2.8e10,5.6e8,Primates,High,"Great ape, closest relative"
Human,70,8.6e10,1.23e9,Primates,Transformative,"86B neurons, EQ~7 (outlier)"
Lizard,0.1,1e7,1e8,Reptiles,Low,"Small reptile baseline"
