entity,year,cps,category,impact,notes
Zeus II 1939,1939,6.5e-6,Hardware,Low,"Kurzweil baseline; relay computer"
ENIAC 1945,1945,1e-4,Hardware,Medium,"Vacuum tube era"
UNIVAC 1951,1951,1e-3,Hardware,Medium,"First commercial computer"
IBM 7090 1959,1959,0.1,Hardware,Medium,"Transistor mainframe"
Intel 4004 1971,1971,10,Hardware,High,"First microprocessor"
Intel 8086 1978,1978,100,Hardware,Medium,"PC architecture foundation"
Intel 386 1985,1985,1e4,Hardware,Medium,"32-bit era"
Pentium 1993,1993,1e6,Hardware,Medium,"Superscalar x86"
Pentium 4 2000,2000,1e8,Hardware,Medium,"GHz race peak"
Core i7 2008,2008,1e9,Hardware,High,"Multi-core era"
NVIDIA V100 2017,2017,1e10,Hardware,High,"GPU for deep learning"
NVIDIA A100 2020,2020,5e10,Hardware,High,"AI accelerator"
NVIDIA B200 2024,2024,5e11,Hardware,Transformative,"~75 quadrillion-fold increase since 1939"
Projected 2026,2026,2e12,Hardware,High,"Kurzweil trajectory projection"
